gbm	categ
MST1	1
CASZ1	1
POTEG	1
PPP1R26	1
BICD2	1
VPS8	1
RAP1GAP	1
FAM65C	1
GRIK4	1
ITGAX	1
TP63	1
OR2M3	1
AQP7	1
C1QTNF9B	1
STAB2	1
UBC	1
ADARB2	1
FAT4	1
ACLY	1
PCDHA12	1
NCOA2	1
IGBP1	1
EXOSC2	1
KNDC1	1
GRM4	1
PRKG2	1
UBE3C	1
MAP3K4	1
ENPEP	1
FREM1	1
CEP95	1
DMRTB1	1
LOC653544	1
ABCC5	1
HCN3	1
MAP3K15	1
BMP5	1
ZFYVE26	1
ATM	1
MAPKBP1	1
MYH4	1
ZNF585B	1
MAGI1	1
ZFHX4	1
ELTD1	1
TBP	1
ZNF385B	1
GLI3	1
BAZ2A	1
MGA	1
HNF4A	1
MAP3K19	1
SLC24A4	1
SYNE2	1
RNF213	1
SULF1	1
LY75	1
CDCP1	1
COBL	1
L1CAM	1
FAM47C	1
PLCB2	1
TBX20	1
OR5D18	1
NEU2	1
PRDM15	1
IVD	1
ST6GAL2	1
OR4K13	1
DLC1	1
KIAA1549	1
C2orf71	1
HHIPL2	1
ANO4	1
DES	1
TAF1	1
PSG8	1
MAGEA11	1
SMPD3	1
ADAMTS9	1
ZNF804A	1
FSIP2	1
UBL4A	1
TMTC1	1
SCN8A	1
CREBBP	1
ITGAM	1
GEM	1
BPIFB2	1
ANKRD20A4	1
UMODL1	1
DUX4L3	1
UBASH3A	1
ELMO1	1
TERT	1
AIFM1	1
MYO5B	1
AVL9	1
CNTNAP4	1
SLCO5A1	1
ZFP42	1
EPAS1	1
ANK1	1
DROSHA	1
DIP2A	1
RLTPR	1
RGR	1
KDM5B	1
KIF26B	1
PDHA2	1
SELPLG	1
NME8	1
N4BP2	1
FLT3	1
HEPACAM	1
PCDHB6	1
DSC3	1
NAV3	1
TNRC18	1
CNTNAP1	1
CTTNBP2	1
RP11-764K9.4	1
IRF7	1
CCDC142	1
SLC4A1	1
VCX3A	1
MUC3A	1
KLHL1	1
C9orf131	1
FOXR2	1
SGOL2	1
CWF19L2	1
NIN	1
DHX35	1
SLFN13	1
VCAN	1
STYK1	1
PLCG2	1
FGFR1OP	1
RNF123	1
ATP2B2	1
C1orf63	1
AOX1	1
GABRB3	1
ADAMTS10	1
NEFH	1
NFASC	1
CSF2RB	1
PPL	1
RALGAPA1	1
CCDC129	1
DNMBP	1
AICDA	1
KIF5C	1
POLR3C	1
KIR3DL2	1
CASP1	1
PLCL1	1
AZI1	1
PCDHGA11	1
A2M	1
KRTAP10-6	1
CARM1	1
KCNQ5	1
WNK2	1
MMRN1	1
MDN1	1
HELZ	1
EXPH5	1
PLB1	1
ALPK3	1
NCKAP1L	1
VAV1	1
PADI3	1
MFSD9	1
DLGAP2	1
MLL4	1
PCDHGA1	1
ARHGEF5	1
HTR5A	1
CYP3A7	1
RET	1
TOP1	1
KIAA1751	1
PCDHB8	1
TRIM7	1
CRNN	1
KIF16B	1
THOC2	1
AZGP1	1
CUL7	1
FER1L6	1
RAPGEF6	1
CTBP2	1
FAT1	1
CHD6	1
TSC2	1
PKP1	1
KCNH5	1
OR5A1	1
CNGB1	1
BPIFB1	1
KCNJ12	1
CACNA1G	1
JADE2	1
ADCY9	1
ZC3H12B	1
SLC27A6	1
UNC45B	1
FAM83B	1
ARHGEF28	1
PSPH	1
KRT15	1
MON1B	1
ZMIZ1	1
EPX	1
PRDM10	1
IGSF1	1
ODZ3	1
EPHB1	1
KLHDC7A	1
NDOR1	1
UHRF1BP1L	1
KLF17	1
DHX16	1
NUP205	1
PTPN13	1
MAGEC2	1
MCCC1	1
ANGPT4	1
AKAP9	1
XDH	1
RAB3GAP2	1
PICK1	1
PABPC3	1
NOX4	1
COL4A5	1
PCNX	1
PCK1	1
PCDHB13	1
FRY	1
BNC1	1
ZNF534	1
ABCA6	1
AFM	1
ZNF697	1
DLEC1	1
FBF1	1
DGKD	1
TAP1	1
PLIN4	1
CPSF1	1
HEPHL1	1
PCDHGB4	1
LAS1L	1
CASKIN2	1
PCDHB4	1
BTNL9	1
ATP2B3	1
FOXP2	1
RGPD4	1
DICER1	1
LCT	1
SALL4	1
BCL6B	1
SMARCA4	1
DSG4	1
TNNT3	1
ACIN1	1
PER2	1
KCNU1	1
SH3RF2	1
LAMC3	1
KALRN	1
MSH6	1
MYT1L	1
SERPINB12	1
GRM6	1
TNS1	1
ZNF708	1
NCOA1	1
WWC3	1
FKBP8	1
WNT2	1
TTC21A	1
RNF43	1
BRAF	1
MDGA2	1
ATP4A	1
UGT3A2	1
GNAT3	1
GRHL3	1
HNF1A	1
PPEF2	1
DPEP1	1
IGHV5-51	1
BOD1L1	1
ABCA5	1
DDX50	1
ZBTB4	1
NEDD4L	1
PSG1	1
GOLGA4	1
KIF17	1
PLXNA1	1
KIAA1462	1
MAN2B1	1
PGS1	1
U2SURP	1
ACTL7B	1
ZKSCAN4	1
ANKRD30A	1
TIAM2	1
FAM13A	1
KIAA1551	1
CD22	1
ABCC1	1
DHX30	1
OR2T34	1
ARID4B	1
LRP8	1
DENND1C	1
MATN4	1
EEF1A1	1
CUL1	1
ONECUT2	1
MYO18A	1
ABCC3	1
GLI2	1
DDX11L2	1
SYT11	1
BAI3	1
UTRN	1
MUC20	1
ITIH5	1
PRPF31	1
SIPA1L3	1
